slice,films,base_rate_profit,logloss_model,logloss_prior,brier_profit_model,brier_profit_prior,accuracy_model,accuracy_prior
all,1448,0.6339779005524862,0.649657573250489,0.7164113595310028,0.17348212483333417,0.20012391555654072,0.6954419889502762,0.6470994475138122
<$15m,307,0.4006514657980456,0.8731163171140487,0.9528574057744769,0.2076900128079514,0.2432799516423245,0.5765472312703583,0.498371335504886
$15-50m,554,0.5270758122743683,0.7820152887282443,0.8425452252293495,0.21717840314740647,0.2511331562321776,0.5992779783393501,0.5072202166064982
$50m+,587,0.8568994889267462,0.4078722091264869,0.47370761541919604,0.11435169928954615,0.1294117819745332,0.848381601362862,0.8568994889267462
