k,silhouette,stability_ari,smallest_cluster
2,0.5212813598675013,0.888658945286766,580
3,0.46386022781829156,0.9075242111655816,91
4,0.3816833237387486,0.8531422221863522,67
5,0.34943744280551137,0.8676151001020074,59
6,0.35513418713022915,0.7888548651723678,59
7,0.33694625672135853,0.6854857560705586,53
8,0.345410753709971,0.7493996968106078,51
