slice,films,logloss_model,logloss_prior,improvement,ci_lo,ci_hi,films_model_closer,films_prior_closer,p_sign,verdict
all,1448,0.649657573250489,0.7164113595310028,0.06675378628051375,0.046060555867577,0.08700287336814126,971,476,2.6145957717182496e-39,model better
<$15m,307,0.8731163171140487,0.9528574057744769,0.07974108866042819,0.03588877579446052,0.1229746234572075,181,126,0.002007424348926651,model better
$15-50m,554,0.7820152887282443,0.8425452252293495,0.06052993650110516,0.024822800448536513,0.09618969641476116,346,208,4.9152843844847165e-09,model better
$50m+,587,0.4078722091264869,0.47370761541919604,0.06583540629270902,0.03705642816783713,0.09416667690828939,444,142,3.7434102588730415e-37,model better
