setting,mae_log,within_2x,director_cov,cinematographer_cov,composer_cov
"in-sample, absolute (original)",0.9206103513535234,0.5598096958352833,0.5009893153937476,0.6778789077958053,0.737633557578156
"in-sample, era-relative",0.9277670993541492,0.5389666740959858,0.5009893153937476,0.6778789077958053,0.737633557578156
"wide $10k, absolute",0.9317148463546543,0.5450856323683092,0.7851206964780372,0.887613771270281,0.8713889988128215
"wide $10k, era-relative",0.9395852331416287,0.5277306053754066,0.7851206964780372,0.887613771270281,0.8713889988128215
"wide $10m, era-relative",0.9294719055368342,0.5246821034151229,0.705975464978235,0.8096557182429759,0.8326078353779185
"wide $10k, era-relative, 5y window",0.9414121410071216,0.5279762135796485,0.7851206964780372,0.887613771270281,0.8713889988128215
