group,n_features,mae_log,within_2x,d_mae,d_2x
full v2 model,51,0.91621131737968,0.5596394740025666,0.0,0.0
all thirteen removed,38,0.9206103513535234,0.5598096958352833,0.004399033973843447,0.00017022183271664382
- oscar pedigree,41,0.9241911336844386,0.5580856305891437,0.007979816304758636,-0.0015538434134229062
- release competition,50,0.9063528563574632,0.5744849275420125,-0.009858461022216769,0.014845453539445885
- franchise gap,50,0.9139946772881744,0.5614143504352085,-0.002216640091505573,0.0017748764326418476
- director recency,50,0.9106082607454892,0.5670581340254572,-0.005603056634190806,0.0074186600228906
