comparison,n_films,rate_a,rate_b,difference,ci_lo,ci_hi,discordant,p_mcnemar,p_wilcoxon,verdict
with career vs without any career structure,1448,0.56353591160221,0.574585635359116,-0.011049723756906049,-0.03176795580110503,0.008977900552486151,240,0.3329330313349305,0.6909447568979337,not distinguishable
with career vs without tenure,1448,0.56353591160221,0.5662983425414365,-0.002762430939226568,-0.022790055248618768,0.016574585635359185,210,0.8360563438452244,0.7959872153886274,not distinguishable
with career vs without recency,1448,0.56353591160221,0.5732044198895028,-0.00966850828729282,-0.029005524861878462,0.008287292817679592,184,0.3378942799553425,0.677703857421875,not distinguishable
